stop_name,stop_id,stop_desc,stop_lat,stop_lon
Abdullah El Refaey,dodging.viewers.infringe,,30.160072,31.355534
Abdullah El Refaey,multiply.dented.bookcases,,30.160095,31.355633
Abo Senna Steps,scrum.overgrown.resist,,30.155146,31.229029
Abo Senna Steps,storybook.blaring.buns,,30.155176,31.229177
Abo Sir Steps - Ring Road,romance.putty.reset,,30.164656,31.388388
Abou Al Farag St- Rod Al Farag St,foiled.conqueror.passports,,30.081596,31.236872
Abou Al Majd Center - Mostorod,birthdays.paves.rocks,,30.126974,31.28783
Abou Al Majd Center - Mostorod,continues.raves.rezoning,,30.12676,31.289162
Abou Al Majd Center - Mostorod,influence.dumplings.vibe,,30.126623,31.289328
Abou Al Majd Center - Mostorod,insulated.outline.ember,,30.126709,31.287874
Abou Al Nomros Police Station,sharpens.throwaway.texts,,29.95806,31.212864
Abou Al Reesh,agrees.query.submits,,30.028622,31.234652
Abou Al Reesh,emporium.palms.sends,,30.029097,31.237198
Abou Al Reesh,hurricane.deferring.ideas,,30.028427,31.236984
Abou Al Reesh,redeemed.mingles.solves,,30.028738,31.23476
Abou Al Reesh,televise.optimally.outwards,,30.028158,31.237354
Abou Wafya Bridge,bordering.sprouting.videos,,30.095621,31.26601
Abou Wafya Bus Station,clockwork.nickname.solid,,30.09778,31.255991
Abou Wafya Bus Station,drivers.event.hexes,,30.097773,31.25611
Abou Wafya Bus Station,dweller.apparatus.tenses,,30.09737,31.255863
Abou Zaabal Bridge,angers.kept.cadet,,30.197258,31.318819
Abou Zaabal Bus Station,sideburns.guests.widely,,30.24936,31.354742
Abu Al Houl - Mansoureyya Rd,directly.truckload.title,,29.97892,31.144003
Abu Al Houl - Mansoureyya Rd,weep.science.throat,,29.978842,31.143768
Abu Al Houl Bus Station,tent.cabs.goodness,,29.977411,31.142803
Abu Bakr Al Sedeeq Mosque - Sheraton,budding.passions.inspected,,30.100943,31.37464
Abu Bakr Al Sediq St - Teraat Al Dakat St,trains.facelift.mixture,,30.10337,31.261
Abu El Numrus,develop.duos.seasick,,29.95958,31.231003
Abu Khater - Matareyya,reheat.tabs.hitters,,30.126125,31.297962
Abu Khater - Matareyya,unspoiled.layered.elder,,30.125807,31.298077
Abu Makarem Mosque - Al Waili,scale.delays.locker,,30.05534,31.279602
Abu Rawwash Bus Station,insurers.comments.pupils,,30.045265,31.095053
Abu Rawwash Bus Station,recliner.butternut.rents,,30.045416,31.094893
Abu Rawwash Rd - Al Mansoureyya Rd,ruling.journey.hogs,,30.041054,31.096401
Abu Rawwash Rd - Al Mansoureyya Rd,throwaway.rehearsal.tins,,30.041172,31.096252
Adawy - Nile Courniche,driveways.outfit.scrambles,,29.896675,31.28756
Adawy - Nile Courniche,exonerate.subject.lived,,29.89672,31.28768
Aden St - Sudan St,cashiers.triangles.hesitate,,30.051468,31.191862
Aden St - Sudan St,unhelpful.spinners.ballots,,30.051453,31.191767
Adidas Steps - Ring Road,automate.scarred.married,,29.983963,31.321728
Adidas Steps - Ring Road,contoured.overdrive.drill,,29.984358,31.321825
Administrative Control Authority - Nozha,drama.cocktail.funky,,30.07768,31.33983
Administrative Control Authority - Nozha,otherwise.circus.slider,,30.077723,31.339565
Adminstration Of Mobilization And Recruitment,nags.putter.clocked,,30.106354,31.324015
Adminstration Of Mobilization And Recruitment,weaved.fuel.wove,,30.106451,31.324131
Afendina Dome - Manshiyat Nasser,browsers.bulb.lifeguard,,30.043367,31.277294
Afendina Dome - Manshiyat Nasser,twins.comically.skater,,30.043438,31.277155
Agouza Corniche,damp.flats.decorated,,30.046488,31.218107
Agouza Corniche,sublime.coil.strides,,30.04654,31.218218
Agouza Police Hospital,birdcage.assembles.forms,,30.052305,31.216717
Agouza Police Hospital,furniture.cultivation.kidney,,30.052334,31.216871
Agricultural Center - Badrasheen,strictest.walking.nicer,,29.851421,31.247364
Agricultural Research Center - Cairo University,eminent.downs.judges,,30.021055,31.211437
Agricultural Research Center - Cairo University,prune.liver.decompose,,30.021217,31.211544
Ahli Bank - Al Nadi Al Gedeed St,tells.motive.absent,,29.969296,31.271973
Ahli Kuwaiti Bank - Sudan St,burden.pylon.ironclad,,30.048325,31.192566
Ahli Kuwaiti Bank - Sudan St,digs.intersect.spoiled,,30.048128,31.192492
Ahmed Al Sallab Mall,derailed.cobras.dash,,30.052265,31.324337
Ahmed Al Sallab Mall,soup.renovated.upholding,,30.052038,31.32441
Ahmed Badawi Street,casino.composes.commutes,,30.066303,31.245766
Ahmed Badawi Street,lifetimes.sinkhole.speaker,,30.066317,31.245083
Ahmed Esmat St - Ain Shams St,doubt.joins.remodels,,30.12915,31.32153
Ahmed Esmat St - Ain Shams St,pepper.trinkets.fancied,,30.129154,31.321438
Ahmed Fakhry - Autostrad,admits.tentacles.sporting,,30.069698,31.348845
Ahmed Fakhry - Autostrad,beard.helpless.presuming,,30.06982,31.348053
Ahmed Fakhry - Autostrad,smuggled.spearhead.shovels,,30.070026,31.348366
Ahmed Galal Military Passage,trucks.pigtails.booklet,Ahmed Galal ?Southbound,30.141197,31.436735
Ahmed Galal Military Passage,valley.inch.houseboat,Ahmed Galal Northbound,30.141253,31.436924
Ahmed Helmy,dialects.takeover.custodial,,30.064966,31.247765
Ahmed Helmy,duration.driveways.bristle,,30.064444,31.245775
Ahmed Helmy,explain.massaged.rabble,,30.065004,31.24655
Ahmed Helmy,juicy.beaks.twins,,30.064476,31.244982
Ahmed Helmy,spent.crowns.objective,,30.06495,31.244743
Ahmed Helmy,washing.weekends.handlebar,,30.06488,31.24488
Ahmed Khalil St - Mogamaa Al Masanae St,toast.nourished.slack,,30.10649,31.266975
Ahmed Maher Teaching Hospital,abode.author.passively,,30.039745,31.250437
Ahmed Maher Teaching Hospital,march.secret.blissful,,30.039818,31.250237
Ahmed Oraby - Ramses,lengthen.scoping.lately,,30.057432,31.241405
Ahmed Oraby - Ramses,sample.flow.stolen,,30.057005,31.242458
Ahmed Oraby - Ramses,turned.coverings.postcard,,30.057323,31.241535
Ahmed Oraby - Ramses,yours.refusals.panics,,30.057491,31.241371
Ahmed Oraby Square - Obour,paddock.continues.dollars,,30.2254,31.457321
Ahmed Oraby Square - Obour,unloaded.flaunting.patting,,30.223509,31.458424
Ahmed Oraby Street,cardinal.elephant.vowel,,30.060703,31.24266
Ahmed Oraby Street,misted.agreeable.centuries,,30.060907,31.242842
Ahmed Saaed Bridge - End,rocky.loving.paddocks,,30.07067,31.272882
Ahmed Saaed Bridge - Start,wool.today.shun,,30.070751,31.272835
Ahmed Saeed St - Abaseyya St,knees.tornado.wings,,30.06404,31.272823
Ahram School for Basic Education,ocean.winds.earth,,29.988497,31.112795
Aida - Ahmed Helmy St,relies.press.archives,,30.08503,31.255957
Aida - Ahmed Helmy St,strikers.hips.lively,,30.084835,31.25583
Ain Helwan Metro Station,duplicate.juices.tutored,,29.862497,31.32542
Ain Helwan Metro Station,laughs.tech.hourglass,,29.862564,31.325506
Ain Shams Metro,calendars.surgical.definite,,30.130777,31.319643
Ain Shams University,deflated.bath.animates,,30.075768,31.287046
Ain Shams University,faced.appoints.herds,,30.075634,31.287308
Ain Shams University - Obour,drumbeat.assures.awoke,,30.204412,31.45731
Ain Shams University - Obour,incisions.exile.gravitate,,30.204477,31.457481
Ain Shams University Dorms,rentals.last.generally,,30.077845,31.28954
Ain Shams University Dorms,warping.nerd.unhappy,,30.077913,31.289207
Air Force Hospital,trickster.scoring.sugar,,30.01642,31.433527
Air Force Hospital,vitals.transmits.hothouse,,30.016115,31.43341
Air Force Hospital - Al Waili,object.wake.beak,,30.062466,31.273512
Akhnaton School,boils.costly.attitudes,,30.006256,31.414314
Akhnaton School,remarking.locals.politics,,30.006426,31.414362
Al Aalam Specialized Hospital,mailboxes.bound.costs,,30.066193,31.191797
Al Aalam Specialized Hospital,motivates.quail.mermaids,,30.066238,31.191692
Al Abageyya Entrance - Autostrad,punctual.across.helpers,,30.021492,31.263771
Al Abageyya Entrance - Autostrad,refusals.trustees.proven,,30.021446,31.263645
Al Abageyya Entrance - Autostrad,rinsed.treat.zaps,,30.02143,31.263554
Al Abaseyya Institute for Computers,implore.voucher.brightens,,30.141941,31.322317
Al Abeet Steps - Ring Road,lyricist.pursuit.crusaders,,30.066568,31.174341
Al Abeet Steps - Ring Road,taps.race.aimlessly,,30.066582,31.174503
Al Abtal City - 15th of May,budgeted.plea.foggy,,29.82824,31.354675
Al Abtal Club - Ein Al Seera,outhouse.howler.unwanted,,30.016285,31.25047
Al Abtal Club - Ein Al Seera,players.lifeguard.musician,,30.016209,31.250294
Al Abyad Automotive - King Faisal St,hazelnuts.abstracts.proven,,30.013403,31.198666
Al Abyad Automotive - King Faisal St,strictest.scaffold.snatched,,30.01348,31.198534
Al Agouza Hospital,diagram.swimmer.regarding,,30.056046,31.216007
Al Agouza Hospital,gurgling.consumed.purple,,30.055784,31.215935
Al Agouza Steps - October Bridge,agency.promoted.groom,,30.048407,31.218903
Al Agouza Steps - October Bridge,protester.park.carefully,,30.048462,31.218576
Al Ahli Bank - Courniche Bolak,deal.ties.wand,,30.062214,31.227352
Al Ahli Bank - Courniche Bolak,starlight.seats.ventures,,30.062159,31.227253
Al Ahli Bank - King Faisal St,grumbling.digesting.picturing,,30.006664,31.18118
Al Ahli Bank - King Faisal St,hides.keen.prancing,,30.006525,31.181217
Al Ahly Sporting Club,blown.croaking.finally,,30.071419,31.354548
Al Ahly Sporting Club,renewals.irritable.squeaks,,30.071619,31.3545
Al Alg Exit - Ring Road,cycled.gained.juicy,,30.165888,31.359163
Al Amir Steps - Ring Road,prune.remember.sofas,,30.163588,31.318558
Al Amir Steps - Ring Road,remarried.skim.feelers,,30.163439,31.31855
Al Andalous Specialized Hospital,recall.everybody.refrained,,30.04051,31.329748
Al Ansar School - Gesr Al Suez,reheat.bitter.neater,,30.117926,31.33605
Al Areesh - Haram Street,boring.similar.salaried,,29.99377,31.160122
Al Areesh - Haram Street,disclose.outs.reheat,,29.99386,31.15995
Al Atraby St - Gesr Al Suez,flats.shrugging.visual,,30.116325,31.336695
Al Atraby St - Gesr Al Suez,witty.zooms.euphoric,,30.116423,31.336401
Al Azhar Park Gate,album.migrants.headings,,30.040054,31.266449
Al Azhar Park Gate,jabs.puppets.trombone,,30.040133,31.266335
Al Azhar Pedestrian Bridge,songbird.storms.touchy,,30.06076,31.307467
Al Azhar University - North,mainframe.icebergs.stormed,,30.062645,31.31107
Al Azhar University - North,sleeping.bandwagon.talent,,30.062895,31.310915
Al Azhar University - South,extend.padding.portfolio,,30.051044,31.320545
Al Azhar University Hospital - Nasr City,breakaway.resurgent.averages,,30.054197,31.31215
Al Azhar University Hospital - Nasr City,steam.kilt.limbs,,30.054237,31.311935
Al Aziz Bellah - Gesr Al Suez,allowable.task.spouse,,30.099646,31.315746
Al Aziz Bellah - Gesr Al Suez,pheasants.vacancies.recur,,30.099487,31.315928
Al Aziz Bellah St - Selim Al Awwal St,torched.minder.rejoins,,30.102497,31.310328
Al Azizeya Bridge,maddening.tugging.whites,,29.879017,31.246502
Al Azizeya Bridge,scoping.cheeses.nightcap,,29.879131,31.247019
Al Bahr Al Aazam Exit - End (Moneeb),mediate.agreement.plunge,,29.989006,31.215307
Al Bahr Al Aazam Exit - Start,flashback.obscuring.lottery,,29.98712,31.218306
Al Bahs Al Genaee - Sherket Al Maadi St,eternity.headstone.haunts,,29.985086,31.283495
Al Bahs Al Genaee - Sherket Al Maadi St,existence.shapes.resists,,29.985058,31.283352
Al Baloun Theatre - Agouza,airstrip.reliving.buildings,,30.059023,31.215128
Al Baloun Theatre - Agouza,subplot.arch.goes,,30.059204,31.215204
Al Banat Mosque Bus Station,bless.hazel.comforted,,30.046577,31.254023
Al Banat Mosque Bus Station,buffoon.icebergs.bids,,30.046368,31.253794
Al Banhawi Bus Station,indirect.dispensed.brightens,,30.057482,31.260452
Al Banhawi Bus Station,warriors.vitals.coping,,30.057438,31.260529
